City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,13.65,88,84,2.66,US,1667396785
1,vaini,-21.2,-175.2,24.09,88,75,3.6,TO,1667396930
2,rocha,-34.4833,-54.3333,18.46,36,0,2.66,UY,1667396633
3,jamestown,42.097,-79.2353,10.57,95,100,0.89,US,1667396931
4,east london,-33.0153,27.9116,22.52,73,0,8.23,ZA,1667396931
5,hvide sande,56.0045,8.1294,13.03,76,20,9.26,DK,1667396931
6,cape town,-33.9258,18.4232,23.84,74,40,7.72,ZA,1667396896
7,mataura,-46.1927,168.8643,9.48,99,100,1.46,NZ,1667396932
8,batalha,-9.6778,-37.1247,33.46,37,92,2.04,BR,1667396932
9,castro,-24.7911,-50.0119,8.35,92,100,4.52,BR,1667396932
10,port hardy,50.6996,-127.4199,0.1,100,75,1.54,CA,1667396933
11,mount gambier,-37.8333,140.7667,7.16,88,76,2.65,AU,1667396933
12,lebu,-37.6167,-73.65,16.3,70,0,2.8,CL,1667396933
13,te anau,-45.4167,167.7167,5.55,97,100,2.76,NZ,1667396934
14,chippewa falls,44.9369,-91.3929,13.88,62,0,3.09,US,1667396934
15,punta arenas,-53.15,-70.9167,13.06,71,40,11.83,CL,1667396934
16,san patricio,28.017,-97.5169,20.92,89,98,5.12,US,1667396935
17,arraial do cabo,-22.9661,-42.0278,21.92,68,100,6.17,BR,1667396935
18,hilo,19.7297,-155.09,21.25,81,75,3.6,US,1667396799
19,hermanus,-34.4187,19.2345,25.89,43,5,7.13,ZA,1667396935
20,rikitea,-23.1203,-134.9692,20.37,72,100,8.69,PF,1667396936
21,hindupur,13.8289,77.4933,19.77,96,100,1.89,IN,1667396846
22,dikson,73.5069,80.5464,-4.5,93,100,8.3,RU,1667396937
23,pangnirtung,66.1451,-65.7125,-1.0,47,100,9.77,CA,1667396937
24,hobart,-42.8794,147.3294,7.92,73,75,5.14,AU,1667396728
25,mar del plata,-38.0023,-57.5575,24.35,34,0,7.2,AR,1667396938
26,ballina,-28.8667,153.5667,15.56,54,57,4.84,AU,1667396938
27,kapaa,22.0752,-159.319,24.18,86,75,4.63,US,1667396938
28,pisco,-13.7,-76.2167,18.9,82,40,1.03,PE,1667396938
29,saint anthony,45.0205,-93.218,14.49,66,0,4.63,US,1667396939
30,anadyr,64.75,177.4833,-10.72,85,0,6.0,RU,1667396939
31,derzhavinsk,51.1,66.3167,2.2,65,73,6.64,KZ,1667396939
32,nanortalik,60.1432,-45.2371,-0.99,72,4,4.48,GL,1667396939
33,fairbanks,64.8378,-147.7164,-12.02,79,100,4.12,US,1667396940
34,nikolskoye,59.7035,30.7861,5.94,94,100,0.16,RU,1667396940
35,waipawa,-41.4122,175.5153,15.38,58,100,5.18,NZ,1667396940
36,belle fourche,44.6714,-103.8522,18.38,16,87,9.34,US,1667396940
37,ushuaia,-54.8,-68.3,6.81,70,20,3.6,AR,1667396941
38,sao filipe,14.8961,-24.4956,28.21,58,16,2.81,CV,1667396822
39,hithadhoo,-0.6,73.0833,26.01,85,100,6.71,MV,1667396941
40,ilulissat,69.2167,-51.1,-8.99,53,0,2.06,GL,1667396941
41,atuona,-9.8,-139.0333,24.58,77,14,5.99,PF,1667396942
42,beyneu,45.3167,55.2,7.02,54,53,6.79,KZ,1667396942
43,saint-georges,12.0564,-61.7485,28.82,79,75,8.23,GD,1667396943
44,mount isa,-20.7333,139.5,19.87,26,0,4.12,AU,1667396943
45,nantucket,41.2835,-70.0995,16.03,86,0,8.85,US,1667396943
46,busselton,-33.65,115.3333,14.14,84,100,4.87,AU,1667396944
47,yellowknife,62.456,-114.3525,-14.71,78,100,3.09,CA,1667396877
48,kaseda,31.4167,130.3167,19.45,84,60,2.97,JP,1667396944
49,mahebourg,-20.4081,57.7,25.16,73,40,5.66,MU,1667396944
50,lompoc,34.6391,-120.4579,10.43,91,0,2.57,US,1667396945
51,constitucion,-35.3333,-72.4167,17.42,56,0,3.67,CL,1667396945
52,el vigia,8.6219,-71.6506,28.3,70,100,1.63,VE,1667396945
53,narsaq,60.9167,-46.05,-5.88,72,6,2.8,GL,1667396945
54,barrow,71.2906,-156.7887,-11.99,92,100,1.54,US,1667396946
55,betanzos,43.2804,-8.2147,18.51,72,40,4.12,ES,1667396946
56,bredasdorp,-34.5322,20.0403,22.37,56,100,7.08,ZA,1667396720
57,turayf,31.6725,38.6637,24.14,41,75,3.09,SA,1667396947
58,kununurra,-15.7667,128.7333,29.99,42,2,2.57,AU,1667396947
59,puerto ayora,-0.7393,-90.3518,20.46,78,100,3.99,EC,1667396947
60,airai,-8.9266,125.4092,17.69,92,98,0.67,TL,1667396947
61,port alfred,-33.5906,26.891,22.72,74,65,13.94,ZA,1667396749
